
from various places on the Internet:

BEGIN

Common Nicknames & Their Given Name Equivalents

It is common in many genealogical records, especially more informal records
such as census records and obituaries, to find your ancestors listed under
names you might not expect. In many cases these names may have been the
nicknames that they were known by to their family and friends. Learn which
nicknames may have been used by your ancestors in this list of common
nicknames in genealogy.


Nicknames                         Given Names
Glen                              Glenys
Greg                              Gregory
Greta, Gretl                      Margaret, Margaretha
Guiseppe                          Joseph
Gus                               August, Augustus, Gustaf, Gustav
Gussie                            Augusta
Gwen                              Gwendolyn
Hal                               Harold, Henry
Ham                               Hamilton
Hank, Harry                       Henry
Hanna                             Johanna
Hans                              Johan, Johann, Johannes
Hansl                             Hans
Harley                            Harlan
Harry                             Harold, Harriet, Henry, Horace
Hattie, Hatty                     Harriet, Harriett
Heiner, Heinz                     Heinrich
Helen                             Eleanor
Hepsy                             Hepsibah
Hermie                            Hermione
Hester                            Esther
Hettie, Hetty                     Esther, Henrietta, Hester, Mehetable
Hias, Haisl                       Matthias
Hilda                             Hildegarde
Hiley, Hy                         Hiram 
Hitty                             Mehetable
Ibby                              Elizabeth
Ibe                               Hepzibah
Iggy                              Ignatius
Ike                               Ira, Isaac
Issy                              Isabella, Isadora
Jack                              Jackson, John
Jackie                            Jacqueline
Jake, Jakl                        Jacob
Jamie                             James, Jameson
Jan, Jen, Jennie, Jenny           Jane, Jennifer
Jane                              Janet, Virginia
Jed                               Jedediah, Jedidiah, Jeduthan
Jeff                              Jeffrey
Jennie, Jenny                     Genevieve, Jane, Janet, Jeanette, Jennett, Virginia
Jennifer                          Winifred
Jeremy                            Jeremiah 
Jerry                             Gerald, Jeremiah 
Jill                              Julia
Jim, Jimmy                        James
Jo                                Joanna
Jock, Johnnie, Johnny             John
Joe, Joey, Jos                    Joseph
Johnny                            John
Jon                               Jonathan
Josh                              Joshua
Joshua                            Jasper
Josie                             Josephine
Joy                               Joyce
Jude, Judy                        Judah 
Judy                              Judith
Julie                             Julia
Karl                              Charles
Kata                              Katarina
Kate, Kathy, Katie, Katy, Kay,
  Kit, Kitty                      Catherine, Cathleen, Katherine, Kathleen, Kathlene, Kathryn
Kati                              Katarina
Katie                             Katja
Kay                               Kathryn
Ken, Kenny                        Kenneth
Kersty                            Christina
Kiah                              Hezekiah 
Kissy                             Calista
Kit                               Christopher
Kitty                             Catherine, Katherine
Kizzie                            Kesiah
Klaus                             Nicholas
Lafe                              Lafayette
Lana                              Eleanor
Lance                             LeRoy
Larry, Lawrey                     Lawrence 
Lazar                             Eleazer 
Leafy                             Relief
Lecta                             Electa
Len, Lenny, Leo, Leon             Leonard
Lena                              Angelina, Caroline, Florina, Helen, Helena, Madeleine, Magdalena, Paulina, Pauline, Selena
Leno                              Felipe
Lenora                            Eleanor
Les                               Leslie
Lettie, Letty                     Letitia
Lew                               Lewis
Liam                              William
Libbie, Libby                     Elisabeth, Elizabeth
Liddie                            Lydia
Lig, Lige, Lije                   Elijah 
Lila                              Delilah
Lilly                             Lydia
Lina                              Frances
Lisa                              Elisa, Melissa
Lisa, Lise, Lisl, Lissa, Lissi,
 Liz, liza, Lizzie                Elisabeth, Elizabeth
Livy                              Olive, Olivia
Liza                              Adeliza, Elisabeth,, Elizabeth
Lola                              Delores
Lollie, Lottie                    Charlotte
Lora                              Loretta
Lorene                            Florina
Lorrie                            Lorraine
Lou, Louie                        Louetta, Louis, Louisa, Louise
Louis                             Alois
Lucy                              Luciana, Lucille, Lucinda
Lula                              Luella
Lulia                             Eulalia
Luke                              Lukas
Lynne                             Belinda, Melinda
Mabel                             Mehetable, Mehitable
Maddie, Maddy                     Madeline
Madge, Maggie, Maggy, Mame, May,
 Meg, Midge                       Margaret, Margery
Maida                             Madaleine, Magdelena
Mal                               Malachi, Malcolm
Mallie                            Malvina
Mame, Mamie                       Mary, Margaret
Manda, Mandy                      Amanda, Samantha
Manny                             Emanuel
Manthy                            Samantha
Marce                             Marcella
Marcy                             Marcia
Mare                              Maria
Marge, Margie                     Margaret, Marjorie
Marty, Martie, Mattie             Martha
Marv                              Marvin
Mat, Matt                         Mathew, Matthew, Matthias
Mate                              Mary
Mattie, Patsy                     Martha
Maud, Maude                       Magdalene, Matilda
Maury                             Maurice
Max                               Maximilian, Maxwell
May                               Mary
Meg, Megan, Maggie                Margaret
Mel                               Melvin
Mellie                            Amelia, Emelia, Mellicent, Mildred
Mena                              Almena, Philomena
Merv                              Mervin
Meta                              Margareta
Michl, Mick, Mickey, Mike         Michael
Millie, Milly                     Amelia, Emeline, Mildred, Millicent
Milt                              Milton
Mima                              Jemima
Mimi                              Mary, Wilhelmina
Mina                              Mindwell, Wilhelmina
Mini                              Minerva
Minnie                            Mary, Minerva, Philomina, Philomine, Wilhelmina
Mira                              Elmira, Mirabel
Mischa                            Michael
Mitch                             Mitchell
Mitty                             Mehetable, Submit
Moe                               Maureen
Moll, Mollie, Molly               Amelia, Martha, Mary, Magdalena
Mona                              Ramona
Moni                              Monica
Morey                             Morris
Mort, Morty                       Mortimer, Morton
Mur                               Muriel
Myra                              Almira, Elmira
Nab                               Abel
Nabby                             Abigail
Nacho                             Ignacio
Nadia                             Nadine
Nan, Nana                         Ann, Anna, Ellen, Hannah, Joanne, Nancy
Nancy                             Agnes, Ann, Anna, Frances
Nannie, Nanny                     Anna, Nancy
Nat, Nate                         Nathan, Nathaniel
Nazi                              Ignazius
Ned                               Edmund, Edwin, Edward, Norton
Neely, Nell, Nellie, Nelly        Cornelia, Eleanor, Elenora, Ellen, Helen
Neil                              Cornelius, Edward
Nessie                            Agnes
Nettie, Netty                     Annette, Antoinette, Henrietta, Jeanette
Neva                              Genevieve
Newt                              Newton
Nicie, Nicy                       Eunice
Nick                              Dominic, Nicholas
Nikki                             Nicole
Nina                              Ann
Nita                              Anita, Juanita
Noni, Nonie                       Eleanor, Elnora, Ione, Joan, Nora
Nora                              Eleanor, Elnora, Elenore, Honora, Honoria, Leonora
Norm                              Norman
Ollie                             Olive, Oliver, Olivia
Obed                              Obediah
Ollie                             Oliver
Ora                               Aurillia, Corinne
Orolia                            Caroline
Pablo                             Paul
Pacho, Paco                       Francisco
Paddy                             Patrick
Pam                               Pamela
Pancho                            Francisco
Pat, Patsy, Patty, Pattie         Martha, Matilda, Parthenia, Patience, Patricia, Patrick
Peddie, Peddy                     Experience
Peg, Peggy                        Margaret
Penny                             Penelope
Pepa                              Josefa
Pepe                              Jose
Peppe                             Giuseppe
Percy                             Percival
Pete                              Peter, Petr
Phelia                            Orphelia
Phil                              Philadelphia, Philip, Phillip, Philomena
Phoenie, Phosey, Pheney           Tryphena
Phosy                             Tryphosia
Phyl                              Phyllis
Pleas                             Pleasant 
Polly, Pollie                     Mary, Paula
Prissy                            Priscilla
Pru, Prudy, Prue                  Prudence
Pug                               Raymond
Puss                              Prudence, Philadelphia
Quil, Quill, Quillie              Aquilla 
Rafaelle, Rufus, Rafe, Ralph      Raphael
Ran                               Randall
Rana                              Lorraine
Randy                             Miranda, Randall, Randolph
Rasmus                            Erasmus
Ray                               Raymond
Reba                              Rebecca
Reenie                            Irene, Maureen, Sabrina, Serena
Reg, Reggie                       Reginald
Rena, Rene                        Alexandria, Irene, Sabrina
Retta                             Loretta
Riah, Rias, Rye                   Zachariah 
Rich, Richie, Richy, Rick         Richard
Rick                              Eric, Frederick, Garrick, Patrick, Roderick
Rilla                             Gabrilla
Rita                              Clarita, Margaret, Margarita, Marguerite, Norita
Rob, Robbie, Robby                Robert
Robin                             Robert, Roberta
Rod                               Roderick, Rodney, Rodrigo
Rodie                             Rhoda
Ron, Ronny, Ronnie                Aaron, Reginald, Ronald
Ronnie                            Veronica
Ros, Rosie                        Rosalind, Rosanne, Rose, Rosemary, Rosetta
Rowena                            Rhoana
Roxy                              Roxanne
Roy                               Leroy
Rudi                              Rudolf
Rudy                              Rudolph
Russ                              Russell
Sadie, Sal, Sally, Sallie,
 Sattie, Sena                     Sarah
Sam, Sammy, Sammie                Samuel, Samson, Samantha
Sandy                             Alexander, Sandra
Sarah                             Susan
Schorsch                          Georg
Seby                              Sebastian
Sene, Senie                       Asenath
Senga                             Agnes
Sepp, Seppl                       Josef, Joseph
Sherm                             Sherman
Shirley                           Charlotte
Si, Cy                            Cyrus, Josiah, Matthias, Silas
Sibella                           Isabella
Sid                               Sidney
Silla                             Drusilla, Priscilla
Silvie                            Silvia
Sis, Sissie, Sissy                Cecelia, Cecily
Sissi                             Elisabeth, Elizabeth
Sol                               Solomon
Sophie                            Sophia, Sophronia
Stacia                            Eustacia
Stacy, Stasi                      Anastasia, Eustacia
Stan                              Stanislas, Stanly
Star                              Stella
Steff, Steffl                     Stefan
Stella                            Estella, Estelle, Esther
Steve                             Stephen, Steven
Stew                              Stewart
Stophel                           Christopher
Sue, Suchie, Suchy, Sukey, Sukie,
 Susie, Suzy                      Sarah, Susan, Susanna, Susannah, Suzanne
Tabby                             Tabitha
Tad                               Edward, Thaddeus, Thadeus, Theodore
Tallie                            Natalie
Ted, Teddy                        Edmund, Edward, Theodore
Telly                             Aristotle
Tempie, Tempy                     Temperance
Tennie                            Tennessee
Tenty                             Content
Teri, Terry, Terza                Theresa
Tess                              Elizabeth, Theresa
Thady, Thaddeus, Tim, Timmy       Timothy
Thea                              Althea
Thenie                            Parthenia
Theo                              Theobald, Theodore, Theophilus
Thirza                            Theresa
Tia                               Antonia
Tiah                              Azariah 
Tibbie                            Isabella
Tilda                             Matilda
Tillie, Tilly                     Matilda, Mathilda, Otilia, Temperance
Tina                              Albertina, Augustina, Christina, Christine, Earnestine, Justina, Martina
Tish                              Letitia
Tobi, Toby                        Tobiah, Tobias
Tom                               Thomas
Toni                              Anton, Antonia, Anthony, Anton
Torie                             Victoria
Tracy                             Theresa
Trina                             Catherine, Katharina, Katherina, Katherine
Trixie                            Beatrice, Beatrix
Trudi, Trudy                      Gertrude
Traudl                            Edeltraud
Ursie, Ursl, Ursy, Uschi          Ursula
Van, Vangie                       Evangeline
Vern                              Vernon
Vernie                            Veronica
Vi                                Viola, Violet
Vic                               Victor
Vicki, Vicky                      Victoria
Vin, Vinny                        Galvin, Vincent
Vina                              Alvina, Lavina
Viney, Viny                       Lavina, Lavinia, Melvina
Virg                              Virgil
Virgie                            Virginia
Viv                               Vivian
Vonnie                            Yvonne
Vroni                             Veronika
Waity                             Waitstill
Wally, Walt                       Wallace, Walter
Web                               Webster
Wendy                             Gwendolen
Wes                               Wesley
Wilhemine                         Guilelminus
Will, Willie, Willy               Wiley, William, Guilelmus
Willie                            Wilhelmina
Winn                              Edwin
Winnet, Winnie                    Winifred
Winnie                            Edwina, Winifred
Woody                             Woodrow
Xander                            Alexander
Xina                              Christina
Yost                              Josef
Zac                               Isaac
Zach                              Zachariah, Zachary
Zak                               Isaac
Zeb                               Zebulon, Zedekiah
Zeke                              Ezekiel
Zena                              Albertina
Zeph                              Zephaniah 
Zubia, Zubie                      Azubah

END

